url,gtms,ga3Properties,ga4Properties,redirects,error,visited
louren.co.in/redirect302/redirect301/www.example.com,,,,"https://louren.co.in/redirect301/www.example.com, https://www.example.com/",,true
websitecontrolcenter.pepsico.com,,,,"https://secure.pepsico.com/oauth2/aus1ljxpv3z9G8NGl0h8/v1/authorize?client_id=0oa1n3xpen9l5J2YE0h8&code_challenge=cUaFp772Tffjqf0nmCInXHOkTAz8aGuMDLgI0ux7850&code_challenge_method=S256&nonce=ctuuyrH87xv1w2CDt7Yyh3YG3XqcJuzEDigxG9sqMRJpTfPLPaFD4dWnn9noGpuh&redirect_uri=https%3A%2F%2Fwebsitecontrolcenter.pepsico.com%2Flogin%2Fcallback&response_type=code&state=WpLTK9Y3PqiLoQSc1LwplJ38KKeEuOW5ItIcQvGB9RjW3uUQonHsARajeH6XvVwn&scope=email%20openid%20profile%20wsp-scope%20address%20phone%20offline_access%20pepappwspdashboardroles, https://secure.pepsico.com/sso/idps/0oa1j91d0vcZaVGvd0h8?stateTokenExternalId=RVFFYUxKWVVYY3E2M0l0bUhlY1BMcEpHWElBTmlrdmQrcE8rUE1kMHFmMnpvaEFGVk9kWmVCZVNzWmNQMGsyeQ, https://secure.mypepsico.com/associatesso/login",,true
mueveloconpepsi.com,GTM-N68FXMB,UA-113093403-120,G-6N8BJM8118,,,true
promopepsi.com.ar,,,G-9JFBQVTB60,,,true
doritos.com.br,GTM-5Q6XT35,UA-157267572-16,G-HPFHKFTD8H,,,true
gatorade.com.br,,,,,,true
mabel.com.br,,,,,,true
campoaopacote.lays.com.br,GTM-WG6Q9CK,UA-157267572-21,G-6LEJVNGDRP,,,true
sumalesabor.com,,,,,,true
tussnacksfavoritos.com,GTM-5VHT8DX,,,,,true
fritolaypromotion.com,,,,,,true
fritolaysnacks.com.pe,GTM-5VHT8DX,,,,,true
rankeatedoritos.com,,,,,,true
clipsy.rs,,,,,,true
pepsi.at,GTM-MMWBRNN,,,,,true
pepsicoicecek.com.tr,GTM-MBPD37X,,,,,true
7up.fr,GTM-WR7X6DH,,,,,true
alvalle.fr,GTM-THJTD9K,,,,,true
fruko.com.tr,,,,,Erro na navegação: page.goto: net::ERR_NAME_NOT_RESOLVED at http://fruko.com.tr/_=========================== logs ===========================_navigating to "http://fruko.com.tr/"_ waiting until "domcontentloaded"_============================================================,true
lays.hu,GTM-5LG3WR7,,,,,true
lays.it,GTM-NLJ44GX,,,,,true
swietujzlaysipepsi.pl,,,,,,true
pepsi.fr,GTM-PDPTVBX,,,,,true
quaker.fr,GTM-PV7JWGK,,,,,true
gewinnen-mit-punica.de,,,,,,true
lipton-probier-mich.de,GTM-NXPHZPM,UA-9613428-53,G-BGKTNL9S3B,,,true
mountaindew.se,,,,,,true
lays-images.com,,,,,,true
pepsi.si,GTM-NLP4TKX,UA-115179195-1,,,,true
pepsimax.it,GTM-K8K3B7C,,,,,true
simba.co.za,,UA-156584197-1,,,,true
cms.dothedewsaudi.com,,,,,,true
liquifruit.co.za,,UA-12425318-1,G-PC99412GHW,,,true
win.redrockdeli.com.au,,,,,,true
summerpromo.pepsimax.com.au,,UA-151511302-4,G-EBL39WGCVG,,,true
quaker.com.my,,,,,,true
pepsico.com.pk,,UA-127890596-1,G-D8V186Q20P,,,true
pepsirecycled.com,,,,,,true
marmite.co.za,,,,,,true
moirs.co.za,,UA-28206710-1,G-MHHN0DV1LY,,,true
khouseofpepsi.com,,,,,,true
dothedewsaudi.com,GTM-K48VG63,,G-KCV6N35R2C,,,true
pocavietnam.com,GTM-PVMPQ39,,G-X57G4FH9T2,,,true
admin-panel.pocavietnam.com,,,,,,true
duetdogry.pl,,,,,,true
ganapremiosconkfcypepsimax.es,,,,,,true
